user_id,Length,Recency,Frequency,Monetary,cluster,nov_frequency,churn_label,activity_drop_ratio,freq_norm,mon_norm,purchase_session_ratio,recency_weight,monetary_trend
551887563,7,8,2,2248.13,2,0.0,Total Churn,0.6666666666666666,0.2857142857142857,0.4370418178955165,0.25,0.7659283383646487,-2.0
551888279,0,10,1,110.66,0,0.0,Total Churn,0.5,0.14285714285714285,0.021512567141721277,1.0,0.7165313105737893,-1.0
551890097,0,30,1,286.68,1,0.0,Total Churn,0.5,0.14285714285714285,0.05573127370493996,1.0,0.36787944117144233,-1.0
551890472,0,14,1,196.86,0,1.0,Non-Churn,0.0,0.14285714285714285,0.038270052119277524,1.0,0.6270890852730561,0.0
551893905,0,2,1,579.74,0,0.0,Total Churn,0.5,0.14285714285714285,0.1127028345810726,1.0,0.9355069850316178,-1.0
551899839,0,0,1,566.04,0,0.0,Total Churn,0.5,0.14285714285714285,0.11003952200343313,1.0,1.0,-1.0
551900811,0,22,1,1415.71,3,1.0,Non-Churn,0.0,0.14285714285714285,0.2752173904591201,1.0,0.4803053010897994,0.0
551909853,0,22,1,197.04,1,0.0,Total Churn,0.5,0.14285714285714285,0.0383050445473049,1.0,0.4803053010897994,-1.0
551910766,0,13,1,71.03,0,0.0,Total Churn,0.5,0.14285714285714285,0.013808400904359861,1.0,0.6483443410015097,-1.0
551912196,0,26,1,1123.47,3,0.0,Total Churn,0.5,0.14285714285714285,0.21840523953288996,1.0,0.4203503845086819,-1.0
551913603,0,13,1,87.51,0,0.0,Total Churn,0.5,0.14285714285714285,0.017012152092644398,1.0,0.6483443410015097,-1.0
551915615,0,16,1,1741.98,3,0.0,Total Churn,0.5,0.14285714285714285,0.33864505430630426,1.0,0.5866462195100318,-1.0
551916584,0,18,1,250.83,1,0.0,Total Churn,0.5,0.14285714285714285,0.04876194845615352,1.0,0.5488116360940265,-1.0
551917835,0,15,1,183.51,1,0.0,Total Churn,0.5,0.14285714285714285,0.03567478037391353,1.0,0.6065306597126334,-1.0
551940302,0,25,1,560.86,1,0.0,Total Churn,0.5,0.14285714285714285,0.10903251768575634,1.0,0.4345982085070782,-1.0
551945472,0,9,1,174.75,0,0.0,Total Churn,0.5,0.14285714285714285,0.03397181554324772,1.0,0.7408182206817179,-1.0
551945758,0,25,1,1158.05,3,0.0,Total Churn,0.5,0.14285714285714285,0.22512767376170542,1.0,0.4345982085070782,-1.0
551946670,0,26,1,1087.54,3,0.0,Total Churn,0.5,0.14285714285714285,0.2114203620938691,1.0,0.4203503845086819,-1.0
551946723,0,25,1,12.32,1,0.0,Total Churn,0.5,0.14285714285714285,0.0023950372960962057,1.0,0.4345982085070782,-1.0
551948302,0,5,1,318.77,0,0.0,Total Churn,0.5,0.14285714285714285,0.061969646012710024,1.0,0.8464817248906141,-1.0
551948838,0,11,1,128.68,0,0.0,Total Churn,0.5,0.14285714285714285,0.02501569799201784,1.0,0.6930406200864415,-1.0
551949830,0,12,1,132.64,0,0.0,Total Churn,0.5,0.14285714285714285,0.025785531408620187,1.0,0.6703200460356393,-1.0
551950742,0,3,1,33.44,0,0.0,Total Churn,0.5,0.14285714285714285,0.006500815517975415,1.0,0.9048374180359595,-1.0
551951837,0,16,1,172.46,1,0.0,Total Churn,0.5,0.14285714285714285,0.033526634097788284,1.0,0.5866462195100318,-1.0
551953512,0,28,1,185.66,1,0.0,Total Churn,0.5,0.14285714285714285,0.03609274548646279,1.0,0.39324072086859824,-1.0
551954968,0,23,1,77.22,1,0.0,Total Churn,0.5,0.14285714285714285,0.01501175162374586,1.0,0.46455902036091146,-1.0
551958506,0,24,1,51.22,1,0.0,Total Churn,0.5,0.14285714285714285,0.009957289797568804,1.0,0.44932896411722156,-1.0
551960712,6,2,2,1208.71,2,0.0,Total Churn,0.6666666666666666,0.2857142857142857,0.23497609822763352,0.2857142857142857,0.9355069850316178,-2.0
551961305,0,10,1,1029.37,3,0.0,Total Churn,0.5,0.14285714285714285,0.2001119757696876,1.0,0.7165313105737893,-1.0
551961562,0,5,1,141.28,0,0.0,Total Churn,0.5,0.14285714285714285,0.027465167953934413,1.0,0.8464817248906141,-1.0
551961812,0,10,1,17.22,0,0.0,Total Churn,0.5,0.14285714285714285,0.003347608947952651,1.0,0.7165313105737893,-1.0
551963904,0,29,1,388.42,1,0.0,Total Churn,0.5,0.14285714285714285,0.07550977163552665,1.0,0.38034875658925854,-1.0
551964521,0,13,1,1384.83,3,0.0,Total Churn,0.5,0.14285714285714285,0.26921424502864516,1.0,0.6483443410015097,-1.0
551964611,0,13,1,187.08,0,0.0,Total Churn,0.5,0.14285714285714285,0.03636879686312323,1.0,0.6483443410015097,-1.0
551964685,0,13,1,97.04,0,0.0,Total Churn,0.5,0.14285714285714285,0.01886480675431622,1.0,0.6483443410015097,-1.0
551968390,0,4,1,186.57,0,0.0,Total Churn,0.5,0.14285714285714285,0.03626965165037899,1.0,0.8751733190429475,-1.0
551969199,0,10,1,476.07,0,0.0,Total Churn,0.5,0.14285714285714285,0.09254914006108123,1.0,0.7165313105737893,-1.0
